Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Temperature,Polarization Resistance
Ba,Pr,Bi,Co,Bi,0.5,0.5,0,0.9375,0.0625,1.465,0.5584375,0.66,0.0475,0.805,0.5109375,1.3159375,2.623391158,1.575535168,0.450511945,0.085058758,0.537639516,-32,-65.6875,-25,-5.6875,-7,-60,-67,0.48715509,0.116666667,0.78125,0.086584206,0.458022388,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1691.5,602,34,500,1657.5,2157.5,0.651492758,0.301659125,0.546279492,0.020100503,0.294785632,2853,3114.8125,1781.5,114.8125,1071.5,3000,4071.5,0.915945984,0.357166667,0.624430424,0.036860164,0.465752794,139.117325,68.31115,70.453825,13.061275,68.6635,55.249875,123.913375,2.036524418,1.242781092,0.506434587,0.191202681,0.673979706,5.075,8.955,3.32,0.61125,1.755,8.34375,10.09875,0.566722501,0.210337079,0.654187192,0.068257956,0.389280852,515,756.4375,263.5,43.9375,251.5,712.5,964,0.680822936,0.352982456,0.511650485,0.058084772,0.318918568,1.01,1.88875,0.565,0.12625,0.445,1.7625,2.2075,0.534745202,0.25248227,0.559405941,0.06684315,0.313137033,2210,1743.6875,1250,51.5,960,1692.1875,2652.1875,1.26742894,0.567313019,0.56561086,0.029535109,0.490726994,-623.504,-189.728625,-389.4985,-10.443,-234.0055,-179.285625,-413.291125,3.286293779,1.30521061,0.624692865,0.055041773,0.967699222,1.034427153,0.398883929,282.3970467,0.1875,0.034427153,0,0,1,0,0,1,0,0,0.142805,-1.835152,2.809447,-0.707418,-1.97521,0.866923102,6.266086518,0.060238295,2.028746267,7.208133203,10.886309,10.886309,7.7322,90,90,90,916.3563496,0.99259921,1.002064016,0.808482202,P4mm,13[C4v],99,8,107.04634,-2.274227,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.07833
Ba,Pr,Bi,Co,Bi,0.5,0.5,0,0.9375,0.0625,1.465,0.5584375,0.66,0.0475,0.805,0.5109375,1.3159375,2.623391158,1.575535168,0.450511945,0.085058758,0.537639516,-32,-65.6875,-25,-5.6875,-7,-60,-67,0.48715509,0.116666667,0.78125,0.086584206,0.458022388,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1691.5,602,34,500,1657.5,2157.5,0.651492758,0.301659125,0.546279492,0.020100503,0.294785632,2853,3114.8125,1781.5,114.8125,1071.5,3000,4071.5,0.915945984,0.357166667,0.624430424,0.036860164,0.465752794,139.117325,68.31115,70.453825,13.061275,68.6635,55.249875,123.913375,2.036524418,1.242781092,0.506434587,0.191202681,0.673979706,5.075,8.955,3.32,0.61125,1.755,8.34375,10.09875,0.566722501,0.210337079,0.654187192,0.068257956,0.389280852,515,756.4375,263.5,43.9375,251.5,712.5,964,0.680822936,0.352982456,0.511650485,0.058084772,0.318918568,1.01,1.88875,0.565,0.12625,0.445,1.7625,2.2075,0.534745202,0.25248227,0.559405941,0.06684315,0.313137033,2210,1743.6875,1250,51.5,960,1692.1875,2652.1875,1.26742894,0.567313019,0.56561086,0.029535109,0.490726994,-623.504,-189.728625,-389.4985,-10.443,-234.0055,-179.285625,-413.291125,3.286293779,1.30521061,0.624692865,0.055041773,0.967699222,1.034427153,0.398883929,282.3970467,0.1875,0.034427153,0,0,1,0,0,1,0,0,0.142805,-1.835152,2.809447,-0.707418,-1.97521,0.866923102,6.266086518,0.060238295,2.028746267,7.208133203,10.886309,10.886309,7.7322,90,90,90,916.3563496,0.99259921,1.002064016,0.808482202,P4mm,13[C4v],99,8,107.04634,-2.274227,1,0,0,0,0,0,0,0,0,1,0,0,0.998917339,0.13866
Ba,Pr,Bi,Co,Bi,0.5,0.5,0,0.9375,0.0625,1.465,0.5584375,0.66,0.0475,0.805,0.5109375,1.3159375,2.623391158,1.575535168,0.450511945,0.085058758,0.537639516,-32,-65.6875,-25,-5.6875,-7,-60,-67,0.48715509,0.116666667,0.78125,0.086584206,0.458022388,2.5,3.125,1.5,0.3125,1,2.8125,3.8125,0.8,0.355555556,0.6,0.1,0.475409836,1102,1691.5,602,34,500,1657.5,2157.5,0.651492758,0.301659125,0.546279492,0.020100503,0.294785632,2853,3114.8125,1781.5,114.8125,1071.5,3000,4071.5,0.915945984,0.357166667,0.624430424,0.036860164,0.465752794,139.117325,68.31115,70.453825,13.061275,68.6635,55.249875,123.913375,2.036524418,1.242781092,0.506434587,0.191202681,0.673979706,5.075,8.955,3.32,0.61125,1.755,8.34375,10.09875,0.566722501,0.210337079,0.654187192,0.068257956,0.389280852,515,756.4375,263.5,43.9375,251.5,712.5,964,0.680822936,0.352982456,0.511650485,0.058084772,0.318918568,1.01,1.88875,0.565,0.12625,0.445,1.7625,2.2075,0.534745202,0.25248227,0.559405941,0.06684315,0.313137033,2210,1743.6875,1250,51.5,960,1692.1875,2652.1875,1.26742894,0.567313019,0.56561086,0.029535109,0.490726994,-623.504,-189.728625,-389.4985,-10.443,-234.0055,-179.285625,-413.291125,3.286293779,1.30521061,0.624692865,0.055041773,0.967699222,1.034427153,0.398883929,282.3970467,0.1875,0.034427153,0,0,1,0,0,1,0,0,0.142805,-1.835152,2.809447,-0.707418,-1.97521,0.866923102,6.266086518,0.060238295,2.028746267,7.208133203,10.886309,10.886309,7.7322,90,90,90,916.3563496,0.99259921,1.002064016,0.808482202,P4mm,13[C4v],99,8,107.04634,-2.274227,1,0,0,0,0,0,0,0,0,1,0,0,0.998855377,0.26964
Ba,Pr,Bi,Co,Ce,0.5,0.5,0,0.9375,0.0625,1.465,0.5653125,0.66,0.054375,0.805,0.5109375,1.3159375,2.591487009,1.575535168,0.450511945,0.096185738,0.542863928,-32,-63.125,-25,-3.125,-7,-60,-67,0.506930693,0.116666667,0.78125,0.04950495,0.419776119,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1724.4375,602,66.9375,500,1657.5,2157.5,0.639048965,0.301659125,0.546279492,0.038817006,0.310052144,2853,3227.0625,1781.5,227.0625,1071.5,3000,4071.5,0.884085759,0.357166667,0.624430424,0.070361978,0.493322486,139.117325,64.007125,70.453825,8.75725,68.6635,55.249875,123.913375,2.173466235,1.242781092,0.506434587,0.1368168,0.639245562,5.075,8.7618125,3.32,0.4180625,1.755,8.34375,10.09875,0.579218056,0.210337079,0.654187192,0.047714157,0.370151009,515,745.875,263.5,33.375,251.5,712.5,964,0.69046422,0.352982456,0.511650485,0.044746104,0.307961618,1.01,1.8325,0.565,0.07,0.445,1.7625,2.2075,0.551159618,0.25248227,0.559405941,0.038199181,0.287655719,2210,1842.1875,1250,150,960,1692.1875,2652.1875,1.199660729,0.567313019,0.56561086,0.081424936,0.527866148,-623.504,-236.0515625,-389.4985,-56.7659375,-234.0055,-179.285625,-413.291125,2.641388997,1.30521061,0.624692865,0.240481092,1.07978229,1.03080855,0.403794643,275.9451587,0.21875,0.03080855,0,0,1,0,0,1,0,0,0.145016,-1.990342,2.417031,-0.668296,-2.152772,0.865008453,7.318036103,0.089186018,1.950910136,8.608688638,10.940077,10.940077,7.753162,90,90,90,927.9394018,0.989347314,0.993387627,0.799381243,P4mm,13[C4v],99,8,105.270693,-2.354654,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.04945
Ba,Pr,Bi,Co,Ce,0.5,0.5,0,0.9375,0.0625,1.465,0.5653125,0.66,0.054375,0.805,0.5109375,1.3159375,2.591487009,1.575535168,0.450511945,0.096185738,0.542863928,-32,-63.125,-25,-3.125,-7,-60,-67,0.506930693,0.116666667,0.78125,0.04950495,0.419776119,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1724.4375,602,66.9375,500,1657.5,2157.5,0.639048965,0.301659125,0.546279492,0.038817006,0.310052144,2853,3227.0625,1781.5,227.0625,1071.5,3000,4071.5,0.884085759,0.357166667,0.624430424,0.070361978,0.493322486,139.117325,64.007125,70.453825,8.75725,68.6635,55.249875,123.913375,2.173466235,1.242781092,0.506434587,0.1368168,0.639245562,5.075,8.7618125,3.32,0.4180625,1.755,8.34375,10.09875,0.579218056,0.210337079,0.654187192,0.047714157,0.370151009,515,745.875,263.5,33.375,251.5,712.5,964,0.69046422,0.352982456,0.511650485,0.044746104,0.307961618,1.01,1.8325,0.565,0.07,0.445,1.7625,2.2075,0.551159618,0.25248227,0.559405941,0.038199181,0.287655719,2210,1842.1875,1250,150,960,1692.1875,2652.1875,1.199660729,0.567313019,0.56561086,0.081424936,0.527866148,-623.504,-236.0515625,-389.4985,-56.7659375,-234.0055,-179.285625,-413.291125,2.641388997,1.30521061,0.624692865,0.240481092,1.07978229,1.03080855,0.403794643,275.9451587,0.21875,0.03080855,0,0,1,0,0,1,0,0,0.145016,-1.990342,2.417031,-0.668296,-2.152772,0.865008453,7.318036103,0.089186018,1.950910136,8.608688638,10.940077,10.940077,7.753162,90,90,90,927.9394018,0.989347314,0.993387627,0.799381243,P4mm,13[C4v],99,8,105.270693,-2.354654,1,0,0,0,0,0,0,0,0,1,0,0,0.998917339,0.09052
Ba,Pr,Bi,Co,Ce,0.5,0.5,0,0.9375,0.0625,1.465,0.5653125,0.66,0.054375,0.805,0.5109375,1.3159375,2.591487009,1.575535168,0.450511945,0.096185738,0.542863928,-32,-63.125,-25,-3.125,-7,-60,-67,0.506930693,0.116666667,0.78125,0.04950495,0.419776119,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1724.4375,602,66.9375,500,1657.5,2157.5,0.639048965,0.301659125,0.546279492,0.038817006,0.310052144,2853,3227.0625,1781.5,227.0625,1071.5,3000,4071.5,0.884085759,0.357166667,0.624430424,0.070361978,0.493322486,139.117325,64.007125,70.453825,8.75725,68.6635,55.249875,123.913375,2.173466235,1.242781092,0.506434587,0.1368168,0.639245562,5.075,8.7618125,3.32,0.4180625,1.755,8.34375,10.09875,0.579218056,0.210337079,0.654187192,0.047714157,0.370151009,515,745.875,263.5,33.375,251.5,712.5,964,0.69046422,0.352982456,0.511650485,0.044746104,0.307961618,1.01,1.8325,0.565,0.07,0.445,1.7625,2.2075,0.551159618,0.25248227,0.559405941,0.038199181,0.287655719,2210,1842.1875,1250,150,960,1692.1875,2652.1875,1.199660729,0.567313019,0.56561086,0.081424936,0.527866148,-623.504,-236.0515625,-389.4985,-56.7659375,-234.0055,-179.285625,-413.291125,2.641388997,1.30521061,0.624692865,0.240481092,1.07978229,1.03080855,0.403794643,275.9451587,0.21875,0.03080855,0,0,1,0,0,1,0,0,0.145016,-1.990342,2.417031,-0.668296,-2.152772,0.865008453,7.318036103,0.089186018,1.950910136,8.608688638,10.940077,10.940077,7.753162,90,90,90,927.9394018,0.989347314,0.993387627,0.799381243,P4mm,13[C4v],99,8,105.270693,-2.354654,1,0,0,0,0,0,0,0,0,1,0,0,0.998855377,0.17294
Ba,Pr,Bi,Co,Ga,0.5,0.5,0,0.9375,0.0625,1.465,0.5496875,0.66,0.03875,0.805,0.5109375,1.3159375,2.665150654,1.575535168,0.450511945,0.070494599,0.530990264,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1676.4375,602,18.9375,500,1657.5,2157.5,0.657346307,0.301659125,0.546279492,0.011296276,0.287804171,2853,3154.8125,1781.5,154.8125,1071.5,3000,4071.5,0.904332666,0.357166667,0.624430424,0.049071855,0.475577183,139.117325,59.6075625,70.453825,4.3576875,68.6635,55.249875,123.913375,2.333887164,1.242781092,0.506434587,0.073106286,0.603740415,5.075,8.71275,3.32,0.369,1.755,8.34375,10.09875,0.582479699,0.210337079,0.654187192,0.042351726,0.365292734,515,748.6875,263.5,36.1875,251.5,712.5,964,0.68787044,0.352982456,0.511650485,0.048334586,0.310879149,1.01,1.875625,0.565,0.113125,0.445,1.7625,2.2075,0.538487171,0.25248227,0.559405941,0.060313229,0.307191393,2210,1804.375,1250,112.1875,960,1692.1875,2652.1875,1.224800831,0.567313019,0.56561086,0.062175268,0.513609049,-623.504,-204.495375,-389.4985,-25.20975,-234.0055,-179.285625,-413.291125,3.048988272,1.30521061,0.624692865,0.123277849,1.003428878,1.039069558,0.392633929,274.9369106,0.25,0.039069558,0,0,1,0,0,1,0,0,0.136168,-1.916413,3.029695,-0.003335,-2.104695,0.872696007,6.79653552,0.048330377,1.003340567,8.204600225,10.867347,10.867347,7.685725,90,90,90,907.6782108,0.992060175,0.992180189,0.815285988,P4mm,13[C4v],99,8,102.296335,-2.330863,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.06837
Ba,Pr,Bi,Co,Ga,0.5,0.5,0,0.9375,0.0625,1.465,0.5496875,0.66,0.03875,0.805,0.5109375,1.3159375,2.665150654,1.575535168,0.450511945,0.070494599,0.530990264,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1676.4375,602,18.9375,500,1657.5,2157.5,0.657346307,0.301659125,0.546279492,0.011296276,0.287804171,2853,3154.8125,1781.5,154.8125,1071.5,3000,4071.5,0.904332666,0.357166667,0.624430424,0.049071855,0.475577183,139.117325,59.6075625,70.453825,4.3576875,68.6635,55.249875,123.913375,2.333887164,1.242781092,0.506434587,0.073106286,0.603740415,5.075,8.71275,3.32,0.369,1.755,8.34375,10.09875,0.582479699,0.210337079,0.654187192,0.042351726,0.365292734,515,748.6875,263.5,36.1875,251.5,712.5,964,0.68787044,0.352982456,0.511650485,0.048334586,0.310879149,1.01,1.875625,0.565,0.113125,0.445,1.7625,2.2075,0.538487171,0.25248227,0.559405941,0.060313229,0.307191393,2210,1804.375,1250,112.1875,960,1692.1875,2652.1875,1.224800831,0.567313019,0.56561086,0.062175268,0.513609049,-623.504,-204.495375,-389.4985,-25.20975,-234.0055,-179.285625,-413.291125,3.048988272,1.30521061,0.624692865,0.123277849,1.003428878,1.039069558,0.392633929,274.9369106,0.25,0.039069558,0,0,1,0,0,1,0,0,0.136168,-1.916413,3.029695,-0.003335,-2.104695,0.872696007,6.79653552,0.048330377,1.003340567,8.204600225,10.867347,10.867347,7.685725,90,90,90,907.6782108,0.992060175,0.992180189,0.815285988,P4mm,13[C4v],99,8,102.296335,-2.330863,1,0,0,0,0,0,0,0,0,1,0,0,0.998917339,0.12105
Ba,Pr,Bi,Co,Ga,0.5,0.5,0,0.9375,0.0625,1.465,0.5496875,0.66,0.03875,0.805,0.5109375,1.3159375,2.665150654,1.575535168,0.450511945,0.070494599,0.530990264,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1676.4375,602,18.9375,500,1657.5,2157.5,0.657346307,0.301659125,0.546279492,0.011296276,0.287804171,2853,3154.8125,1781.5,154.8125,1071.5,3000,4071.5,0.904332666,0.357166667,0.624430424,0.049071855,0.475577183,139.117325,59.6075625,70.453825,4.3576875,68.6635,55.249875,123.913375,2.333887164,1.242781092,0.506434587,0.073106286,0.603740415,5.075,8.71275,3.32,0.369,1.755,8.34375,10.09875,0.582479699,0.210337079,0.654187192,0.042351726,0.365292734,515,748.6875,263.5,36.1875,251.5,712.5,964,0.68787044,0.352982456,0.511650485,0.048334586,0.310879149,1.01,1.875625,0.565,0.113125,0.445,1.7625,2.2075,0.538487171,0.25248227,0.559405941,0.060313229,0.307191393,2210,1804.375,1250,112.1875,960,1692.1875,2652.1875,1.224800831,0.567313019,0.56561086,0.062175268,0.513609049,-623.504,-204.495375,-389.4985,-25.20975,-234.0055,-179.285625,-413.291125,3.048988272,1.30521061,0.624692865,0.123277849,1.003428878,1.039069558,0.392633929,274.9369106,0.25,0.039069558,0,0,1,0,0,1,0,0,0.136168,-1.916413,3.029695,-0.003335,-2.104695,0.872696007,6.79653552,0.048330377,1.003340567,8.204600225,10.867347,10.867347,7.685725,90,90,90,907.6782108,0.992060175,0.992180189,0.815285988,P4mm,13[C4v],99,8,102.296335,-2.330863,1,0,0,0,0,0,0,0,0,1,0,0,0.998855377,0.22595
Ba,Pr,Bi,Co,Hf,0.5,0.5,0,0.9375,0.0625,1.465,0.5553125,0.66,0.044375,0.805,0.5109375,1.3159375,2.638154192,1.575535168,0.450511945,0.079909961,0.535264783,-32,-60.00625,-25,-0.00625,-7,-60,-67,0.533277784,0.116666667,0.78125,0.000104156,0.373227612,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1814.125,602,156.625,500,1657.5,2157.5,0.607455385,0.301659125,0.546279492,0.086336388,0.351622248,2853,3304.75,1781.5,304.75,1071.5,3000,4071.5,0.863302822,0.357166667,0.624430424,0.09221575,0.512403291,139.117325,66.4055,70.453825,11.155625,68.6635,55.249875,123.913375,2.094966908,1.242781092,0.506434587,0.167992486,0.658600817,5.075,9.175625,3.32,0.831875,1.755,8.34375,10.09875,0.553095838,0.210337079,0.654187192,0.090661399,0.411127615,515,753.6875,263.5,41.1875,251.5,712.5,964,0.683307074,0.352982456,0.511650485,0.054647981,0.316065871,1.01,1.84375,0.565,0.08125,0.445,1.7625,2.2075,0.54779661,0.25248227,0.559405941,0.044067797,0.292751982,2210,1867.8125,1250,175.625,960,1692.1875,2652.1875,1.183202275,0.567313019,0.56561086,0.094027104,0.537527984,-623.504,-238.920375,-389.4985,-59.63475,-234.0055,-179.285625,-413.291125,2.609672783,1.30521061,0.624692865,0.249600939,1.086723675,1.036080385,0.396651786,281.0777348,0.21875,0.036080385,0,0,1,0,0,1,0,0,0.12714,-1.741964,3.708728,-0.633792,-1.954228,0.880610379,5.708544001,0.024508678,1.884743995,7.058467783,10.900518,10.900518,7.710026,90,90,90,916.1152558,0.989840332,1.004586358,0.808324313,P4mm,13[C4v],99,8,107.626947,-2.204242,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.02918
Ba,Pr,Bi,Co,Hf,0.5,0.5,0,0.9375,0.0625,1.465,0.5553125,0.66,0.044375,0.805,0.5109375,1.3159375,2.638154192,1.575535168,0.450511945,0.079909961,0.535264783,-32,-60.00625,-25,-0.00625,-7,-60,-67,0.533277784,0.116666667,0.78125,0.000104156,0.373227612,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1814.125,602,156.625,500,1657.5,2157.5,0.607455385,0.301659125,0.546279492,0.086336388,0.351622248,2853,3304.75,1781.5,304.75,1071.5,3000,4071.5,0.863302822,0.357166667,0.624430424,0.09221575,0.512403291,139.117325,66.4055,70.453825,11.155625,68.6635,55.249875,123.913375,2.094966908,1.242781092,0.506434587,0.167992486,0.658600817,5.075,9.175625,3.32,0.831875,1.755,8.34375,10.09875,0.553095838,0.210337079,0.654187192,0.090661399,0.411127615,515,753.6875,263.5,41.1875,251.5,712.5,964,0.683307074,0.352982456,0.511650485,0.054647981,0.316065871,1.01,1.84375,0.565,0.08125,0.445,1.7625,2.2075,0.54779661,0.25248227,0.559405941,0.044067797,0.292751982,2210,1867.8125,1250,175.625,960,1692.1875,2652.1875,1.183202275,0.567313019,0.56561086,0.094027104,0.537527984,-623.504,-238.920375,-389.4985,-59.63475,-234.0055,-179.285625,-413.291125,2.609672783,1.30521061,0.624692865,0.249600939,1.086723675,1.036080385,0.396651786,281.0777348,0.21875,0.036080385,0,0,1,0,0,1,0,0,0.12714,-1.741964,3.708728,-0.633792,-1.954228,0.880610379,5.708544001,0.024508678,1.884743995,7.058467783,10.900518,10.900518,7.710026,90,90,90,916.1152558,0.989840332,1.004586358,0.808324313,P4mm,13[C4v],99,8,107.626947,-2.204242,1,0,0,0,0,0,0,0,0,1,0,0,0.998917339,0.05432
Ba,Pr,Bi,Co,Hf,0.5,0.5,0,0.9375,0.0625,1.465,0.5553125,0.66,0.044375,0.805,0.5109375,1.3159375,2.638154192,1.575535168,0.450511945,0.079909961,0.535264783,-32,-60.00625,-25,-0.00625,-7,-60,-67,0.533277784,0.116666667,0.78125,0.000104156,0.373227612,2.5,3.0625,1.5,0.25,1,2.8125,3.8125,0.816326531,0.355555556,0.6,0.081632653,0.459016393,1102,1814.125,602,156.625,500,1657.5,2157.5,0.607455385,0.301659125,0.546279492,0.086336388,0.351622248,2853,3304.75,1781.5,304.75,1071.5,3000,4071.5,0.863302822,0.357166667,0.624430424,0.09221575,0.512403291,139.117325,66.4055,70.453825,11.155625,68.6635,55.249875,123.913375,2.094966908,1.242781092,0.506434587,0.167992486,0.658600817,5.075,9.175625,3.32,0.831875,1.755,8.34375,10.09875,0.553095838,0.210337079,0.654187192,0.090661399,0.411127615,515,753.6875,263.5,41.1875,251.5,712.5,964,0.683307074,0.352982456,0.511650485,0.054647981,0.316065871,1.01,1.84375,0.565,0.08125,0.445,1.7625,2.2075,0.54779661,0.25248227,0.559405941,0.044067797,0.292751982,2210,1867.8125,1250,175.625,960,1692.1875,2652.1875,1.183202275,0.567313019,0.56561086,0.094027104,0.537527984,-623.504,-238.920375,-389.4985,-59.63475,-234.0055,-179.285625,-413.291125,2.609672783,1.30521061,0.624692865,0.249600939,1.086723675,1.036080385,0.396651786,281.0777348,0.21875,0.036080385,0,0,1,0,0,1,0,0,0.12714,-1.741964,3.708728,-0.633792,-1.954228,0.880610379,5.708544001,0.024508678,1.884743995,7.058467783,10.900518,10.900518,7.710026,90,90,90,916.1152558,0.989840332,1.004586358,0.808324313,P4mm,13[C4v],99,8,107.626947,-2.204242,1,0,0,0,0,0,0,0,0,1,0,0,0.998855377,0.10804
Ba,Pr,Bi,Co,In,0.5,0.5,0,0.9375,0.0625,1.465,0.5609375,0.66,0.05,0.805,0.5109375,1.3159375,2.611699164,1.575535168,0.450511945,0.08913649,0.539539302,-32,-61.8125,-25,-1.8125,-7,-60,-67,0.517694641,0.116666667,0.78125,0.029322548,0.400186567,2.5,3,1.5,0.1875,1,2.8125,3.8125,0.833333333,0.355555556,0.6,0.0625,0.442622951,1102,1684.375,602,26.875,500,1657.5,2157.5,0.654248609,0.301659125,0.546279492,0.015955473,0.291483198,2853,3146.5625,1781.5,146.5625,1071.5,3000,4071.5,0.906703744,0.357166667,0.624430424,0.046578608,0.473550903,139.117325,62.426,70.453825,7.176125,68.6635,55.249875,123.913375,2.228515763,1.242781092,0.506434587,0.114954106,0.62648564,5.075,8.800625,3.32,0.456875,1.755,8.34375,10.09875,0.576663589,0.210337079,0.654187192,0.051913927,0.373994306,515,747.375,263.5,34.875,251.5,712.5,964,0.689078441,0.352982456,0.511650485,0.046663322,0.309517635,1.01,1.87375,0.565,0.11125,0.445,1.7625,2.2075,0.539026017,0.25248227,0.559405941,0.059372915,0.306342016,2210,1811.5625,1250,119.375,960,1692.1875,2652.1875,1.219941349,0.567313019,0.56561086,0.065896153,0.516319076,-623.504,-199.270875,-389.4985,-19.98525,-234.0055,-179.285625,-413.291125,3.128926894,1.30521061,0.624692865,0.100291877,0.990787668,1.033108362,0.400669643,275.2750025,0.25,0.033108362,0,0,1,0,0,1,0,0,0.145906,-1.84693,2.917606,0.15487,-2.185285,0.864238938,6.340324816,0.054062959,0.856526519,8.893182749,10.897463,10.897463,7.728711,90,90,90,917.8207549,0.989012434,0.990688011,0.807525519,P4mm,13[C4v],99,8,102.209984,-2.326972,1,0,0,0,0,0,0,0,0,1,0,0,0.998972937,0.05217
